101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：苗栗縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
獅潭鄉,其　他,1,64,64,64,64,64,0,0
獅潭鄉,合　計,842,553320,657,526,332,832,550.08,83.71
泰安鄉,錦水村,192,127106,662,539,329,858,529.02,79.91
泰安鄉,清安村,172,119932,697,544,342,934,531.63,76.24
泰安鄉,大興村,72,54203,753,685,455,870,566.46,75.25
泰安鄉,象鼻村,79,57625,729,610,440,966,472.03,64.71
泰安鄉,梅園村,35,26494,757,780,453,1048,401.49,53.04
泰安鄉,八卦村,42,26448,630,511,331,860,447.61,71.08
泰安鄉,中興村,74,46373,627,516,380,805,431.44,68.85
泰安鄉,士林村,58,36305,626,536,411,845,378.57,60.48
泰安鄉,其　他,0,0,0,0,0,0,0,0
泰安鄉,合　計,724,494486,683,553,360,878,497.26,72.81
其　他,其　他,38,31302,824,729,264,1038,704.42,85.52
其　他,合　計,38,31302,824,729,264,1038,704.42,85.52
