101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：高雄市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
新興區,南港里,660,560270,849,567,317,962,1248.89,147.12
新興區,開平里,1239,1790383,1445,769,403,1490,5414.5,374.7
新興區,光耀里,757,673023,889,632,324,1086,1369.37,154.02
新興區,永寧里,505,477763,946,609,346,1115,1255.57,132.71
新興區,順昌里,669,645357,965,598,344,980,4107.54,425.8
新興區,正氣里,523,567101,1084,633,333,1297,1640.02,151.25
新興區,建華里,280,346241,1237,546,288,1086,5589.79,452.04
新興區,振華里,430,462136,1075,616,320,1311,1584.89,147.47
新興區,文昌里,1012,1239469,1225,720,362,1442,2256.69,184.25
新興區,興昌里,634,651765,1028,652,338,1169,1509.11,146.8
新興區,其　他,2,2525,1262,1262,957,1568,863.85,68.43
新興區,合　計,15531,16463271,1060,627,334,1178,2478.96,233.86
前金區,青山里,571,673495,1180,719,387,1348,1912.22,162.12
前金區,長興里,353,319074,904,588,326,1087,1273.28,140.87
前金區,民生里,262,257419,983,678,325,1131,1137.22,115.75
前金區,東金里,342,415492,1215,698,320,1446,1799.32,148.11
前金區,林投里,233,296880,1274,536,277,881,4818.66,378.18
前金區,後金里,268,275225,1027,645,358,1237,1502.21,146.28
前金區,文東里,419,440172,1051,639,327,1173,1503.59,143.13
前金區,長生里,581,594740,1024,644,336,1334,1179.83,115.26
前金區,博孝里,327,306201,936,556,315,1186,1072.58,114.54
前金區,復元里,362,375690,1038,665,335,1303,1106.13,106.58
前金區,社東里,661,833383,1261,736,391,1380,1798.76,142.67
前金區,社西里,390,407922,1046,665,363,1200,1284,122.76
前金區,國民里,352,500571,1422,666,367,1508,2410.75,169.52
前金區,新生里,1255,1341252,1069,703,367,1310,1461.29,136.73
前金區,北金里,232,202394,872,560,327,998,976.29,111.91
前金區,榮復里,367,262481,715,526,286,898,694.94,97.17
前金區,文西里,321,277796,865,551,344,900,1296.95,149.87
前金區,草江里,392,356692,910,618,329,1166,912.94,100.33
前金區,長城里,392,319754,816,579,334,1028,807.38,98.98
前金區,三川里,200,123375,617,465,289,708,631.59,102.39
前金區,其　他,3,1401,467,226,170,643,517.1,110.73
前金區,合　計,8283,8581409,1036,634,343,1192,1629.6,157.29
苓雅區,博仁里,242,319629,1321,632,380,1539,2296.62,173.88
苓雅區,苓洲里,463,441960,955,590,321,1209,1112.58,116.56
苓雅區,苓昇里,368,257815,701,556,324,914,575.93,82.21
苓雅區,苓雅里,488,426019,873,602,353,1026,949.14,108.72
苓雅區,苓中里,492,372342,757,547,323,961,732.9,96.84
苓雅區,苓東里,453,379567,838,524,306,927,1032.15,123.18
苓雅區,城東里,734,711143,969,694,390,1223,1041.73,107.52
苓雅區,城北里,488,519696,1065,631,361,1152,2391.14,224.53
苓雅區,城西里,165,105357,639,462,283,763,690.36,108.12
苓雅區,意誠里,1065,853832,802,578,345,968,1059.37,132.14
苓雅區,鼓中里,301,242408,805,592,320,972,835.23,103.71
苓雅區,田西里,476,405587,852,622,343,1079,895.74,105.12
苓雅區,日中里,808,723188,895,595,331,1124,928.31,103.72
苓雅區,美田里,405,346135,855,621,314,1040,914.61,107.02
苓雅區,林西里,531,444218,837,566,351,1042,909.67,108.74
苓雅區,林南里,1097,1265988,1154,752,393,1402,1711.5,148.3
苓雅區,林德里,616,693894,1126,682,390,1371,1285.95,114.16
苓雅區,福海里,344,264746,770,585,345,934,670.36,87.1
苓雅區,福南里,568,427776,753,525,309,920,885.99,117.64
苓雅區,福西里,466,299568,643,513,312,793,570.25,88.71
苓雅區,福東里,826,589719,714,574,329,952,606.43,84.94
苓雅區,五福里,1237,988677,799,557,335,960,928.09,116.12
苓雅區,仁政里,487,550299,1130,679,358,1287,1703.39,150.75
苓雅區,凱旋里,673,757314,1125,723,408,1298,1446.49,128.54
苓雅區,人和里,617,561562,910,568,301,1042,1541.69,169.39
苓雅區,和煦里,709,674220,951,639,348,1119,1382.04,145.33
苓雅區,普照里,1054,1128826,1071,671,368,1222,1479.62,138.15
苓雅區,晴朗里,416,490692,1180,673,327,1302,1547.4,131.19
苓雅區,廣澤里,631,585139,927,608,340,1108,1459.72,157.41
苓雅區,奏捷里,514,437836,852,605,348,1123,778.18,91.35
苓雅區,永康里,749,644175,860,613,358,1128,857.73,99.73
苓雅區,林圍里,926,1292788,1396,776,418,1541,2752.66,197.17
苓雅區,林興里,377,278832,740,575,345,912,687.98,93.02
苓雅區,林靖里,575,527118,917,725,417,1247,719.67,78.5
苓雅區,同慶里,770,1188015,1543,930,459,1729,3066.94,198.78
苓雅區,福隆里,823,640917,779,589,365,963,653.23,83.88
苓雅區,福康里,535,395087,738,569,330,947,650.28,88.06
苓雅區,福人里,602,459485,763,588,343,984,645.07,84.51
苓雅區,福地里,808,569887,705,531,331,851,616.19,87.37
苓雅區,福居里,798,542681,680,517,334,832,632.85,93.06
